Year,Region,Sex,Value
2012,Asturias,,84.57
2015,Asturias,,83.74
2018,Asturias,,82.25
2012,Asturias,Hombre,78.46
2015,Asturias,Hombre,80.34
2018,Asturias,Hombre,77.61
2012,Asturias,Mujer,90.67
2015,Asturias,Mujer,87.29
2018,Asturias,Mujer,86.84
2012,España,,81.66
2015,España,,83.76
2018,España,,76.8
2022,España,,75.57
2012,España,Hombre,76.59
2015,España,Hombre,80.36
2018,España,Hombre,72.08
2022,España,Hombre,71.04
2012,España,Mujer,86.88
2015,España,Mujer,87.16
2018,España,Mujer,81.64
2022,España,Mujer,80.2
