Year,Region,Sex,Value
2010,Asturias,,15.9158264654415
2011,Asturias,,17.8366237729191
2012,Asturias,,21.8263999588064
2013,Asturias,,24.134222313595
2014,Asturias,,21.1309117724265
2015,Asturias,,19.1075013474911
2016,Asturias,,17.6188326791393
2017,Asturias,,13.7115029616923
2018,Asturias,,13.6115023923464
2019,Asturias,,14.1937290042905
2020,Asturias,,14.12
2010,Asturias,Hombre,15.1534077979401
2011,Asturias,Hombre,18.3131723950352
2012,Asturias,Hombre,21.8924646389315
2013,Asturias,Hombre,23.9258834318971
2014,Asturias,Hombre,20.143514023156
2015,Asturias,Hombre,19.5856524508291
2016,Asturias,Hombre,18.8254788954566
2017,Asturias,Hombre,13.5060146938432
2018,Asturias,Hombre,12.3715622858626
2019,Asturias,Hombre,13.3060657752506
2020,Asturias,Hombre,13.86
2010,Asturias,Mujer,16.8143683705348
2011,Asturias,Mujer,17.2889280678638
2012,Asturias,Mujer,21.7502758365754
2013,Asturias,Mujer,24.3685091446938
2014,Asturias,Mujer,22.206836708347
2015,Asturias,Mujer,18.5950276200694
2016,Asturias,Mujer,16.3215704564558
2017,Asturias,Mujer,13.9328372271722
2018,Asturias,Mujer,14.9243829070947
2019,Asturias,Mujer,15.1314400079428
2020,Asturias,Mujer,14.4
2010,España,,19.86
2011,España,,21.39
2012,España,,24.79
2013,España,,26.09
2014,España,,24.44
2015,España,,22.06
2016,España,,19.63
2017,España,,17.22
2018,España,,15.25
2019,España,,14.1
2020,España,,15.53
2010,España,Hombre,19.57
2011,España,Hombre,21.04
2012,España,Hombre,24.58
2013,España,Hombre,25.6
2014,España,Hombre,23.6
2015,España,Hombre,20.77
2016,España,Hombre,18.12
2017,España,Hombre,15.66
2018,España,Hombre,13.72
2019,España,Hombre,12.45
2020,España,Hombre,13.87
2010,España,Mujer,20.22
2011,España,Mujer,21.81
2012,España,Mujer,25.03
2013,España,Mujer,26.67
2014,España,Mujer,25.43
2015,España,Mujer,23.55
2016,España,Mujer,21.38
2017,España,Mujer,19.03
2018,España,Mujer,17.02
2019,España,Mujer,15.99
2020,España,Mujer,17.43
