Year,Region,Value
2010,Asturias,0.527450529276798
2011,Asturias,0.536364408329603
2012,Asturias,0.538774830035971
2013,Asturias,0.532686142528752
2014,Asturias,0.532837587676071
2015,Asturias,0.567332981574885
2016,Asturias,0.561235668684679
2017,Asturias,0.562591166964846
2018,Asturias,0.570889124592632
2019,Asturias,0.567988860747762
2020,Asturias,0.561921247221367
2021,Asturias,0.562390242603803
2010,España,0.62
2011,España,0.61
2012,España,0.61
2013,España,0.61
2014,España,0.61
2015,España,0.62
2016,España,0.61
2017,España,0.62
2018,España,0.63
2019,España,0.63
2020,España,0.62
2021,España,0.62
