Year,Región,Value
2010,Asturias,-39.11
2011,Asturias,-33.8
2012,Asturias,-29.58
2013,Asturias,-32.93
2014,Asturias,-31.74
2015,Asturias,-17.05
2016,Asturias,-33.18
2017,Asturias,-28.12
2018,Asturias,-33.66
2019,Asturias,-47.24
2020,Asturias,-56.16
2021,Asturias,-44.91
2022,Asturias,-44.72
2023,Asturias,-56.83
2024,Asturias,-56.03
2010,España,-20.32
2011,España,-19.94
2012,España,-21.86
2013,España,-29.21
2014,España,-28.4
2015,España,-24.6
2016,España,-26.69
2017,España,-23.62
2018,España,-24.27
2019,España,-28.35
2020,España,-41.65
2021,España,-36.23
2022,España,-32.35
2023,España,-36.77
2024,España,-36.46
