Year,Región,Value
2010,Asturias,1.13
2011,Asturias,1.14
2012,Asturias,1.15
2013,Asturias,1.15
2014,Asturias,1.14
2015,Asturias,1.18
2016,Asturias,1.19
2017,Asturias,1.2
2018,Asturias,1.22
2019,Asturias,1.22
2020,Asturias,1.22
2021,Asturias,1.26
2022,Asturias,1.25
2010,España,1.07
2011,España,1.07
2012,España,1.08
2013,España,1.08
2014,España,1.08
2015,España,1.08
2016,España,1.1
2017,España,1.11
2018,España,1.12
2019,España,1.13
2020,España,1.14
2021,España,1.16
2022,España,1.16
2023,España,1.18
