Year,Región,Sexo,Value
2014,Asturias,,14.52
2015,Asturias,,7.76
2016,Asturias,,20.83
2017,Asturias,,19.81
2018,Asturias,,13.96
2019,Asturias,,11.47
2020,Asturias,,47.17
2021,Asturias,,66.41
2022,Asturias,,51.27
2023,Asturias,,41.03
2014,Asturias,Hombre,24.18
2015,Asturias,Hombre,13.41
2016,Asturias,Hombre,34.68
2017,Asturias,Hombre,34.93
2018,Asturias,Hombre,24.31
2019,Asturias,Hombre,19.48
2020,Asturias,Hombre,85.31
2021,Asturias,Hombre,64.06
2022,Asturias,Hombre,64.27
2023,Asturias,Hombre,70.86
2014,Asturias,Mujer,4.19
2015,Asturias,Mujer,2.57
2016,Asturias,Mujer,8.13
2017,Asturias,Mujer,5.95
2018,Asturias,Mujer,4.49
2019,Asturias,Mujer,4.13
2020,Asturias,Mujer,12.26
2021,Asturias,Mujer,22.03
2022,Asturias,Mujer,10.66
2023,Asturias,Mujer,13.86
2015,España,,101.99
2016,España,,98.3
2017,España,,100.62
2018,España,,102.69
2019,España,,106.26
2020,España,,81.41
2021,España,,93.66
2015,España,Hombre,173.77
2016,España,Hombre,167.19
2017,España,Hombre,171.1
2018,España,Hombre,174.05
2019,España,Hombre,179.48
2020,España,Hombre,136.08
2021,España,Hombre,156.7
2015,España,Mujer,32.23
2016,España,Mujer,31.55
2017,España,Mujer,32.47
2018,España,Mujer,33.78
2019,España,Mujer,35.58
2020,España,Mujer,28.68
2021,España,Mujer,32.8
