Year,Región,Value
2010,Asturias,0.171179378138259
2011,Asturias,0.171235545619184
2012,Asturias,0.171573997804797
2013,Asturias,0.152540129518748
2014,Asturias,0.157831120697523
2015,Asturias,0.155687344273266
2016,Asturias,0.142051406001251
2017,Asturias,0.136895358018456
2018,Asturias,0.143957389570398
2019,Asturias,0.143763988625347
2020,Asturias,0.144315593621113
2021,Asturias,0.156743120128299
2010,España,0.25
2011,España,0.25
2012,España,0.25
2013,España,0.25
2014,España,0.25
2015,España,0.25
2016,España,0.25
2017,España,0.25
2018,España,0.26
2019,España,0.26
2020,España,0.26
2021,España,0.26
