Year,Región,Sexo,Value
2014,Asturias,,21.92
2015,Asturias,,17.72
2016,Asturias,,35.97
2017,Asturias,,29.61
2018,Asturias,,16.79
2019,Asturias,,16.76
2020,Asturias,,19.01
2021,Asturias,,24.28
2022,Asturias,,14.92
2014,Asturias,Hombre,33.3
2015,Asturias,Hombre,29.03
2016,Asturias,Hombre,61.09
2017,Asturias,Hombre,46.71
2018,Asturias,Hombre,27.98
2019,Asturias,Hombre,28.91
2020,Asturias,Hombre,27.82
2021,Asturias,Hombre,25.92
2022,Asturias,Hombre,22.69
2014,Asturias,Mujer,10.01
2015,Asturias,Mujer,7.35
2016,Asturias,Mujer,12.94
2017,Asturias,Mujer,13.95
2018,Asturias,Mujer,6.55
2019,Asturias,Mujer,5.64
2020,Asturias,Mujer,10.94
2021,Asturias,Mujer,22.78
2022,Asturias,Mujer,7.81
2015,España,,59.19
2016,España,,57.38
2017,España,,55.34
2018,España,,55.2
2019,España,,57.76
2020,España,,42.27
2015,España,Hombre,93.39
2016,España,Hombre,89.85
2017,España,Hombre,87.02
2018,España,Hombre,86.51
2019,España,Hombre,89.3
2020,España,Hombre,64.0
2015,España,Mujer,25.96
2016,España,Mujer,25.96
2017,España,Mujer,24.66
2018,España,Mujer,24.95
2019,España,Mujer,27.37
2020,España,Mujer,21.32
