Year,Región,Sexo,Value
2015,Asturias,,72.31
2016,Asturias,,73.2
2017,Asturias,,73.21
2018,Asturias,,81.28
2019,Asturias,,82.43
2020,Asturias,,85.12
2021,Asturias,,81.45
2022,Asturias,,76.25
2023,Asturias,,81.42
2015,Asturias,Hombre,69.92
2016,Asturias,Hombre,73.44
2017,Asturias,Hombre,72.0
2018,Asturias,Hombre,76.21
2019,Asturias,Hombre,76.22
2020,Asturias,Hombre,81.6
2021,Asturias,Hombre,80.61
2022,Asturias,Hombre,75.37
2023,Asturias,Hombre,79.28
2015,Asturias,Mujer,74.96
2016,Asturias,Mujer,72.93
2017,Asturias,Mujer,74.5
2018,Asturias,Mujer,86.54
2019,Asturias,Mujer,89.28
2020,Asturias,Mujer,89.39
2021,Asturias,Mujer,82.44
2022,Asturias,Mujer,77.32
2023,Asturias,Mujer,83.68
2015,España,,68.75
2016,España,,69.67
2017,España,,70.43
2018,España,,71.52
2019,España,,73.4
2020,España,,75.41
2021,España,,78.03
2022,España,,78.27
2023,España,,78.5
2015,España,Hombre,62.94
2016,España,Hombre,64.3
2017,España,Hombre,65.16
2018,España,Hombre,65.6
2019,España,Hombre,67.65
2020,España,Hombre,69.68
2021,España,Hombre,74.33
2022,España,Hombre,75.04
2023,España,Hombre,74.76
2015,España,Mujer,74.86
2016,España,Mujer,75.36
2017,España,Mujer,76.09
2018,España,Mujer,77.74
2019,España,Mujer,79.48
2020,España,Mujer,81.48
2021,España,Mujer,81.9
2022,España,Mujer,81.6
2023,España,Mujer,82.47
