Year,Region,Sex,Value
2012,Asturias,,18.03
2013,Asturias,,15.62
2014,Asturias,,16.03
2015,Asturias,,12.16
2016,Asturias,,13.02
2017,Asturias,,10.97
2018,Asturias,,10.35
2019,Asturias,,11.08
2020,Asturias,,12.21
2012,Asturias,Hombre,25.7
2013,Asturias,Hombre,19.24
2014,Asturias,Hombre,19.82
2015,Asturias,Hombre,14.82
2016,Asturias,Hombre,15.93
2017,Asturias,Hombre,15.84
2018,Asturias,Hombre,11.44
2019,Asturias,Hombre,14.35
2020,Asturias,Hombre,17.1
2012,Asturias,Mujer,10.95
2013,Asturias,Mujer,12.28
2014,Asturias,Mujer,12.56
2015,Asturias,Mujer,9.73
2016,Asturias,Mujer,10.35
2017,Asturias,Mujer,6.51
2018,Asturias,Mujer,9.35
2019,Asturias,Mujer,8.08
2020,Asturias,Mujer,7.73
2012,España,,12.78
2013,España,,11.89
2014,España,,11.44
2015,España,,10.81
2016,España,,10.92
2017,España,,10.07
2018,España,,9.99
2019,España,,9.98
2020,España,,8.08
2012,España,Hombre,16.25
2013,España,Hombre,14.45
2014,España,Hombre,14.07
2015,España,Hombre,13.33
2016,España,Hombre,13.79
2017,España,Hombre,13
2018,España,Hombre,12.77
2019,España,Hombre,12.78
2020,España,Hombre,10.34
2012,España,Mujer,9.41
2013,España,Mujer,9.42
2014,España,Mujer,8.89
2015,España,Mujer,8.39
2016,España,Mujer,8.15
2017,España,Mujer,7.24
2018,España,Mujer,7.32
2019,España,Mujer,7.29
2020,España,Mujer,5.91
