Year,Region,Value
2010,Asturias,11.5
2011,Asturias,14.1
2012,Asturias,13
2013,Asturias,14.1
2014,Asturias,16.7
2015,Asturias,16.7
2016,Asturias,13.4
2017,Asturias,12.6
2018,Asturias,14
2019,Asturias,20.7
2010,España,20.7
2011,España,20.6
2012,España,20.8
2013,España,20.4
2014,España,22.2
2015,España,22.1
2016,España,22.3
2017,España,21.6
2018,España,21.5
2010,Galicia,18.1
2011,Galicia,16.1
2012,Galicia,18.3
2013,Galicia,17.2
2014,Galicia,15.4
2015,Galicia,19.4
2016,Galicia,19
2017,Galicia,18.7
2018,Galicia,18.8
2010,Cantabria,20.1
2011,Cantabria,16.7
2012,Cantabria,17.7
2013,Cantabria,17.8
2014,Cantabria,20.6
2015,Cantabria,14.9
2016,Cantabria,15.3
2017,Cantabria,17.6
2018,Cantabria,19.9
2010,País Vasco,11.7
2011,País Vasco,13.8
2012,País Vasco,13.3
2013,País Vasco,10.5
2014,País Vasco,10.2
2015,País Vasco,10.9
2016,País Vasco,9
2017,País Vasco,9.7
2018,País Vasco,8.6
2010,Comunidad Foral de Navarra,10.7
2011,Comunidad Foral de Navarra,8.1
2012,Comunidad Foral de Navarra,7
2013,Comunidad Foral de Navarra,9.9
2014,Comunidad Foral de Navarra,11.9
2015,Comunidad Foral de Navarra,9.6
2016,Comunidad Foral de Navarra,9
2017,Comunidad Foral de Navarra,8.3
2018,Comunidad Foral de Navarra,8.9
2010,La Rioja,21.2
2011,La Rioja,20.6
2012,La Rioja,16.8
2013,La Rioja,19.3
2014,La Rioja,16.2
2015,La Rioja,17.1
2016,La Rioja,11.9
2017,La Rioja,9.7
2018,La Rioja,16.6
2010,Aragón,14.2
2011,Aragón,15.5
2012,Aragón,14.5
2013,Aragón,16.1
2014,Aragón,16.9
2015,Aragón,14.4
2016,Aragón,15.7
2017,Aragón,13.3
2018,Aragón,14.2
2010,Comunidad de Madrid,14.4
2011,Comunidad de Madrid,14
2012,Comunidad de Madrid,14.2
2013,Comunidad de Madrid,13.4
2014,Comunidad de Madrid,14.7
2015,Comunidad de Madrid,15.1
2016,Comunidad de Madrid,18.2
2017,Comunidad de Madrid,16.9
2018,Comunidad de Madrid,16.1
2010,Castilla y León,19.5
2011,Castilla y León,17.6
2012,Castilla y León,15.9
2013,Castilla y León,17.5
2014,Castilla y León,20.4
2015,Castilla y León,18.3
2016,Castilla y León,17.7
2017,Castilla y León,15.4
2018,Castilla y León,16.1
2010,Castilla - La Mancha,28.3
2011,Castilla - La Mancha,29.4
2012,Castilla - La Mancha,30
2013,Castilla - La Mancha,31.3
2014,Castilla - La Mancha,28.4
2015,Castilla - La Mancha,28.5
2016,Castilla - La Mancha,31.7
2017,Castilla - La Mancha,28.1
2018,Castilla - La Mancha,29.9
2010,Extremadura,35.7
2011,Extremadura,31.7
2012,Extremadura,29.4
2013,Extremadura,30.9
2014,Extremadura,33.1
2015,Extremadura,29
2016,Extremadura,30.4
2017,Extremadura,38.8
2018,Extremadura,37.6
2010,Cataluña,14.7
2011,Cataluña,14.2
2012,Cataluña,15.8
2013,Cataluña,13.9
2014,Cataluña,15.8
2015,Cataluña,13.9
2016,Cataluña,13.2
2017,Cataluña,15
2018,Cataluña,13.6
2010,Comunidad Valenciana,22.7
2011,Comunidad Valenciana,22
2012,Comunidad Valenciana,25
2013,Comunidad Valenciana,23.6
2014,Comunidad Valenciana,26.2
2015,Comunidad Valenciana,25.3
2016,Comunidad Valenciana,24.4
2017,Comunidad Valenciana,25.6
2018,Comunidad Valenciana,26
2010,Illes Balears / Islas Baleares,22.7
2011,Illes Balears / Islas Baleares,21
2012,Illes Balears / Islas Baleares,19.9
2013,Illes Balears / Islas Baleares,19.8
2014,Illes Balears / Islas Baleares,17.9
2015,Illes Balears / Islas Baleares,21.7
2016,Illes Balears / Islas Baleares,15.5
2017,Illes Balears / Islas Baleares,21.3
2018,Illes Balears / Islas Baleares,15.4
2010,Andalucía,28.3
2011,Andalucía,30.7
2012,Andalucía,28.3
2013,Andalucía,29.1
2014,Andalucía,33.3
2015,Andalucía,35.7
2016,Andalucía,35.4
2017,Andalucía,31
2018,Andalucía,32
2010,Canarias,29.7
2011,Canarias,30.1
2012,Canarias,33.6
2013,Canarias,28.4
2014,Canarias,27.6
2015,Canarias,28.5
2016,Canarias,35
2017,Canarias,30.5
2018,Canarias,32.1
