Year,Region,Value
2010,Asturias,0.99
2011,Asturias,1.08
2012,Asturias,1.06
2013,Asturias,1.13
2014,Asturias,1.03
2015,Asturias,1.02
2016,Asturias,1.09
2017,Asturias,1.02
2018,Asturias,1.01
2019,Asturias,1.13
2020,Asturias,1.11
2021,Asturias,1.15
2022,Asturias,1.13
2023,Asturias,1.06
2010,España,1.11
2011,España,1.11
2012,España,1.1
2013,España,1.09
2014,España,1.08
2015,España,1.08
2016,España,1.08
2017,España,1.07
2018,España,1.1
2019,España,1.12
2020,España,1.12
2021,España,1.15
2022,España,1.14
2023,España,1.14
