Year,Region,Value
2010,Asturias,-39.35
2011,Asturias,-33.92
2012,Asturias,-29.54
2013,Asturias,-32.92
2014,Asturias,-31.56
2015,Asturias,-16.79
2016,Asturias,-33.04
2017,Asturias,-28.16
2018,Asturias,-33.55
2019,Asturias,-47
2020,Asturias,-55.48
2021,Asturias,-43.45
2022,Asturias,-43.31
2010,España,-20.4
2011,España,-19.75
2012,España,-21.45
2013,España,-28.85
2014,España,-27.6
2015,España,-23.8
2016,España,-26.08
2017,España,-23.04
2018,España,-23.77
2019,España,-27.95
2020,España,-41.18
2021,España,-35.7
2022,España,-31.95
