Year,Region,Value
2010,Asturias,1.1304577142568
2011,Asturias,1.13801019476705
2012,Asturias,1.14910209836863
2013,Asturias,1.14810111726728
2014,Asturias,1.14454293277149
2015,Asturias,1.17864053738818
2016,Asturias,1.18882031339317
2017,Asturias,1.20403638689466
2018,Asturias,1.21561990442139
2019,Asturias,1.21947046496535
2020,Asturias,1.22461755795462
2021,Asturias,1.25627288543564
2010,Asturias,0.527450529276798
2011,Asturias,0.536364408329603
2012,Asturias,0.538774830035971
2013,Asturias,0.532686142528752
2014,Asturias,0.532837587676071
2015,Asturias,0.567332981574885
2016,Asturias,0.561235668684679
2017,Asturias,0.562591166964846
2018,Asturias,0.570889124592632
2019,Asturias,0.567988860747762
2020,Asturias,0.561921247221367
2021,Asturias,0.562390242603803
2010,Asturias,0.131920385214746
2011,Asturias,0.14650744286012
2012,Asturias,0.150191969465426
2013,Asturias,0.155866904983138
2014,Asturias,0.1528560719122
2015,Asturias,0.157412355393483
2016,Asturias,0.164628753805789
2017,Asturias,0.170184275216375
2018,Asturias,0.201075974223633
2019,Asturias,0.207086366738114
2020,Asturias,0.189205134334098
2021,Asturias,0.189077505971001
2010,Asturias,0.171179378138259
2011,Asturias,0.171235545619184
2012,Asturias,0.171573997804797
2013,Asturias,0.152540129518748
2014,Asturias,0.157831120697523
2015,Asturias,0.155687344273266
2016,Asturias,0.142051406001251
2017,Asturias,0.136895358018456
2018,Asturias,0.143957389570398
2019,Asturias,0.143763988625347
2020,Asturias,0.144315593621113
2021,Asturias,0.156743120128299
2010,Asturias,1.09615560121097
2011,Asturias,1.08542563533948
2012,Asturias,1.10892044973671
2013,Asturias,1.11769090334671
2014,Asturias,1.12688918923777
2015,Asturias,1.14632292189667
2016,Asturias,1.15046926977768
2017,Asturias,1.18705046058397
2018,Asturias,1.18793101294478
2019,Asturias,1.19994970358142
2020,Asturias,1.24404672148253
2021,Asturias,1.24890378288017
2010,Asturias,1.40941508295077
2011,Asturias,1.41559974659121
2012,Asturias,1.42809254923668
2013,Asturias,1.42511113884578
2014,Asturias,1.42523976888988
2015,Asturias,1.42811511991659
2016,Asturias,1.43688288457627
2017,Asturias,1.44816851165364
2018,Asturias,1.45316527510685
2019,Asturias,1.46180994319188
2020,Asturias,1.45695647326238
2021,Asturias,1.47826400368759
2010,Asturias,1.4370357039939
2011,Asturias,1.43775155108185
2012,Asturias,1.4648490418504
2013,Asturias,1.45364136087067
2014,Asturias,1.42380042605261
2015,Asturias,1.45052351873692
2016,Asturias,1.4751059246613
2017,Asturias,1.46630354175893
2018,Asturias,1.47695757559624
2019,Asturias,1.47331193969031
2020,Asturias,1.47028374228077
2021,Asturias,1.48250077068924
2010,Asturias,1.37688011740622
2011,Asturias,1.38798580045316
2012,Asturias,1.40833129025957
2013,Asturias,1.41497232393926
2014,Asturias,1.45249276383353
2015,Asturias,1.44497363799918
2016,Asturias,1.44241852597707
2017,Asturias,1.45867058675181
2018,Asturias,1.45552393030871
2019,Asturias,1.46672300670234
2020,Asturias,1.44857152055659
2021,Asturias,1.46102162629299
2010,Asturias,1.51352808780132
2011,Asturias,1.51538164637606
2012,Asturias,1.5265474960602
2013,Asturias,1.51586869374432
2014,Asturias,1.52009714510324
2015,Asturias,1.53300362512773
2016,Asturias,1.54251336141779
2017,Asturias,1.54953431431691
2018,Asturias,1.56070502694275
2019,Asturias,1.56400906247069
2020,Asturias,1.56369328367845
2021,Asturias,1.57726629261638
2010,Asturias,0.910424138256473
2011,Asturias,0.893424735018564
2012,Asturias,0.887373651792499
2013,Asturias,0.880873719647114
2014,Asturias,0.849262304857467
2015,Asturias,0.880784604685322
2016,Asturias,0.907225353286228
2017,Asturias,0.92978879194909
2018,Asturias,0.947663146695431
2019,Asturias,0.952671889472419
2020,Asturias,0.98872379039858
2021,Asturias,0.992708995745416
2020,Asturias,0.994122973536203
2021,Asturias,0.997472881229543
2010,Asturias,0.89337018421905
2011,Asturias,0.904855187295976
2012,Asturias,0.907972674417806
2013,Asturias,0.950958996128264
2014,Asturias,0.951052417123666
2015,Asturias,0.94899569255525
2016,Asturias,0.954112416604666
2017,Asturias,0.956324623606224
2018,Asturias,0.953599878742484
